Mean: 0.9994878067227343, SE: 0.0007900258170270413, STDEV: 0.024982809921408843, f: cos(x), a: 0, b: 1.5707963267948966, n: 1000, points: 1000, t: 1 s
Mean: 0.9994111330139456, SE: 0.0008558978254523448, STDEV: 0.027065865728146447, f: ln(x), a: 1, b: 2.718281828459045, n: 1000, points: 1000, t: 0 s
Mean: 1.5411882625952358, SE: 0.0010484028919715515, STDEV: 0.0331534104413756, f: sin(x), a: 1, b: 3.141592653589793, n: 1000, points: 1000, t: 1 s
// USABLE RESULTS
// sin(x)
Mean: 1.9971646423603095, SE: 0.0015854160710340973, STDEV: 0.050135258235030504, f: sin(x), a: 0, b: 3.141592653589793, n: 1000, points: 1000, t: 1 s
Mean: 2.000573820168181, SE: 0.0005095655450747877, STDEV: 0.05095655450747877, f: sin(x), a: 0, b: 3.141592653589793, n: 10000, points: 1000, t: 10 s
Mean: 1.999782534660242, SE: 0.00016183860016049815, STDEV: 0.0511778589840466, f: sin(x), a: 0, b: 3.141592653589793, n: 100000, points: 1000, t: 98 s
Mean: 2.0141692979960237, SE: 0.006330208208821001, STDEV: 0.06330208208821, f: sin(x), a: 0, b: 3.141592653589793, n: 100, points: 1000, t: 0 s
Mean: 1.9900889903062584, SE: 0.019534094962805594, STDEV: 0.06177223211248781, f: sin(x), a: 0, b: 3.141592653589793, n: 10, points: 1000, t: 0 s
// cos(x)
Mean: 1.004280777554683, SE: 0.008454624270771429, STDEV: 0.026735869456577868, f: cos(x), a: 0, b: 1.5707963267948966, n: 10, points: 1000, t: 0 s
Mean: 0.9969577250791651, SE: 0.002766273611166585, STDEV: 0.027662736111665847, f: cos(x), a: 0, b: 1.5707963267948966, n: 100, points: 1000, t: 0 s
Mean: 0.9997764405477826, SE: 0.0007913628487745262, STDEV: 0.02502509057766892, f: cos(x), a: 0, b: 1.5707963267948966, n: 1000, points: 1000, t: 0 s
Mean: 1.0004170427057755, SE: 0.000252749766557113, STDEV: 0.025274976655711302, f: cos(x), a: 0, b: 1.5707963267948966, n: 10000, points: 1000, t: 9 s
Mean: 1.00007317261332, SE: 0.00008069286107778075, STDEV: 0.025517323192133665, f: cos(x), a: 0, b: 1.5707963267948966, n: 100000, points: 1000, t: 88 s
// ln(x)
Mean: 0.9979780859690134, SE: 0.008479178704931476, STDEV: 0.026813517395180262, f: ln(x), a: 1, b: 2.718281828459045, n: 10, points: 1000, t: 0 s
Mean: 0.9964659979599698, SE: 0.002422726293201635, STDEV: 0.02422726293201635, f: ln(x), a: 1, b: 2.718281828459045, n: 100, points: 1000, t: 0 s
Mean: 1.0003355686376576, SE: 0.0008385048960397063, STDEV: 0.026515853006881727, f: ln(x), a: 1, b: 2.718281828459045, n: 1000, points: 1000, t: 0 s
Mean: 1.000018201983938, SE: 0.0002690003251952949, STDEV: 0.02690003251952949, f: ln(x), a: 1, b: 2.718281828459045, n: 10000, points: 1000, t: 9 s
Mean: 1.0001115562356513, SE: 0.00008485438939959833, STDEV: 0.026833313996557834, f: ln(x), a: 1, b: 2.718281828459045, n: 100000, points: 1000, t: 86 s
// e^-sqrt(x)
