Mean: 0.0000000000000000000000000000000000003666348906804139, SE: 0.00000000000000000000000000000000000000000000000000011495219353925689, STDEV: 0.0000000000000000000000000000000000000000000000000036351075361654396, f: e^(-(x^2)), a: 9, b: 10, n: 1000, traps: 1000000, t: 2 s
Mean: 1.4936482656243018, SE: 0.000000000000000133897934774369, STDEV: 0.0000000000000013389793477436902, f: e^(-(x^2)), a: -1, b: 1, n: 100, traps: 1000000, t: 0 s
Mean: 0.9999999999998586, SE: 0.0000000000000006709047287675826, STDEV: 0.000000000000021215870358830522, f: cos(x), a: 0, b: 1.5707963268, n: 1000, traps: 1000000, t: 0 s
Mean: 0.9999999999998016, SE: 0.0000000000000008008705662775331, STDEV: 0.000000000000025325751004258422, f: cos(x), a: 0, b: 1.5707963267948966, n: 1000, traps: 1000000, t: 1 s
Mean: 0.9999999999998794, SE: 0.0000000000000005058129892279157, STDEV: 0.000000000000015995211160584267, f: ln(x), a: 1, b: 2.718281828459045, n: 1000, traps: 1000000, t: 0 s
Mean: 1.5403023058675567, SE: 0.0000000000000003231582986733906, STDEV: 0.000000000000010219162685928838, f: sin(x), a: 1, b: 3.141592653589793, n: 1000, traps: 1000000, t: 1 s
// USABLE RESULTS
// sin(x)
Mean: 1.9999999999983946, SE: 0.000000000000001053777060891491, STDEV: 0.000000000000033323356584550555, f: sin(x), a: 0, b: 3.141592653589793, n: 1000, traps: 1000000, t: 1 s
Mean: 1.9999999999985316, SE: 0.0000000000000017031672802680689, STDEV: 0.0000000000001703167280268069, f: sin(x), a: 0, b: 3.141592653589793, n: 10000, traps: 1000000, t: 10 s
Mean: 1.999999999999853, SE: 0.000000000000004717179434335792, STDEV: 0.0000000000014917031144205789, f: sin(x), a: 0, b: 3.141592653589793, n: 100000, traps: 1000000, t: 98 s
Mean: 1.9999999999983589, SE: 0.0000000000000002454795470863432, STDEV: 0.000000000000002454795470863432, f: sin(x), a: 0, b: 3.141592653589793, n: 100, traps: 1000000, t: 0 s
Mean: 1.9999999999983618, SE: 0.00000000000000014802973661668753, STDEV: 0.0000000000000004681111291435602, f: sin(x), a: 0, b: 3.141592653589793, n: 10, traps: 1000000, t: 0 s
// cos(x)
Mean: 0.999999999999827, SE: 0.00000000000000003700743415417188, STDEV: 0.00000000000000011702778228589004, f: cos(x), a: 0, b: 1.5707963267948966, n: 10, traps: 1000000, t: 0 s
Mean: 0.9999999999998285, SE: 0.00000000000000015621425723676385, STDEV: 0.0000000000000015621425723676385, f: cos(x), a: 0, b: 1.5707963267948966, n: 100, traps: 1000000, t: 0 s
Mean: 0.9999999999998016, SE: 0.0000000000000008008705662775331, STDEV: 0.000000000000025325751004258422, f: cos(x), a: 0, b: 1.5707963267948966, n: 1000, traps: 1000000, t: 0 s
Mean: 0.9999999999999564, SE: 0.0000000000000012945847775701228, STDEV: 0.00000000000012945847775701228, f: cos(x), a: 0, b: 1.5707963267948966, n: 10000, traps: 1000000, t: 9 s
Mean: 0.9999999999999957, SE: 0.0000000000000005336493554771065, STDEV: 0.00000000000016875474351885083, f: cos(x), a: 0, b: 1.5707963267948966, n: 100000, traps: 1000000, t: 88 s
// ln(x)
Mean: 0.9999999999998634, SE: 0, STDEV: 0, f: ln(x), a: 1, b: 2.718281828459045, n: 10, traps: 1000000, t: 0 s
Mean: 0.9999999999998621, SE: 0.000000000000000133897934774369, STDEV: 0.0000000000000013389793477436902, f: ln(x), a: 1, b: 2.718281828459045, n: 100, traps: 1000000, t: 0 s
Mean: 0.9999999999998794, SE: 0.0000000000000005058129892279157, STDEV: 0.000000000000015995211160584267, f: ln(x), a: 1, b: 2.718281828459045, n: 1000, traps: 1000000, t: 0 s
Mean: 0.9999999999999644, SE: 0.0000000000000010092431928055247, STDEV: 0.00000000000010092431928055246, f: ln(x), a: 1, b: 2.718281828459045, n: 10000, traps: 1000000, t: 9 s
Mean: 0.9999999999999963, SE: 0.00000000000000042024886743822143, STDEV: 0.00000000000013289436052109503, f: ln(x), a: 1, b: 2.718281828459045, n: 100000, traps: 1000000, t: 86 s
// e^-sqrt(x)
Mean: 1.493648265624303, SE: 0, STDEV: 0, f: e^(-(x^2)), a: -1, b: 1, n: 10, traps: 1000000, t: 0 s
Mean: 1.4936482656243018, SE: 0.000000000000000133897934774369, STDEV: 0.0000000000000013389793477436902, f: e^(-(x^2)), a: -1, b: 1, n: 100, traps: 1000000, t: 0 s
